PRICING_DATE,PX_LAST
2007-06-14,3.5
2007-06-15,3.6
2007-06-25,3.275
2007-06-27,3.4
2007-06-28,3.4
2007-06-29,3.6
2007-07-02,3.6
2007-07-03,3.5
2007-07-04,3.5
2007-07-05,3.5
2007-07-06,3.5
2007-07-09,3.5
2007-07-10,3.5
2007-07-11,3.5
2007-07-12,3.5
2007-07-13,3.5
2007-07-16,3.5
2007-07-17,3.5
2007-07-18,3.5
2007-07-19,3.5
2007-07-23,3.5
2007-07-24,3.5
2007-07-25,3.55
2007-07-26,3.55
2007-07-27,3.52
2007-07-30,3.52
2007-07-31,3.52
2007-08-06,3.52
2007-08-07,3.52
2007-08-08,3.52
2007-08-09,3.525
2007-08-13,3.525
2007-08-14,3.525
2007-08-20,3.5
2007-08-21,3.485
2007-08-22,3.5
2007-08-23,3.49
2007-08-24,3.49
2007-08-27,3.525
2007-08-28,3.555
2007-08-29,3.555
2007-08-30,3.565
2007-08-31,3.565
2007-09-03,3.59
2007-09-04,3.575
2007-09-05,3.58
2007-09-06,3.58
2007-09-07,3.635
2007-09-10,3.63
2007-09-11,3.665
2007-09-12,3.7
2007-09-13,3.7
2007-09-14,3.7
2007-09-17,3.725
2007-09-18,3.735
2007-09-19,3.8
2007-09-20,3.84
2007-09-21,3.86
2007-09-24,3.89
2007-09-25,3.87
2007-09-26,3.96
2007-09-27,3.915
2007-09-28,3.96
2007-10-08,3.96
2007-10-09,3.96
2007-10-10,3.96
2007-10-11,4.005
2007-10-12,4.005
2007-10-15,4.04
2007-10-16,4.04
2007-10-17,4.07
2007-10-18,4.065
2007-10-19,4.11
2007-10-22,4.065
2007-10-23,4.065
2007-10-24,4.1
2007-10-25,4.085
2007-10-26,4.05
2007-10-29,4.1
2007-10-30,4.05
2007-10-31,4.05
2007-11-01,4.25
2007-11-02,4.25
2007-11-05,4.175
2007-11-06,4.25
2007-11-07,4.35
2007-11-08,4.35
2007-11-09,4.35
2007-11-12,4.425
2007-11-13,4.4
2007-11-14,4.635
2007-11-15,4.715
2007-11-16,4.73
2007-11-19,4.615
2007-11-20,4.7
2007-11-21,4.615
2007-11-22,4.75
2007-11-23,4.6
2007-11-26,4.525
2007-11-27,4.55
2007-11-28,4.55
2007-11-29,4.685
2007-11-30,4.705
2007-12-03,4.63
2007-12-04,4.65
2007-12-05,4.6
2007-12-06,4.63
2007-12-07,4.65
2007-12-10,4.65
2007-12-11,4.695
2007-12-12,4.695
2007-12-13,4.65
2007-12-14,4.695
2007-12-17,4.7
2007-12-18,4.55
2007-12-19,4.77
2007-12-20,4.71
2007-12-21,4.725
2007-12-24,4.625
2007-12-25,4.625
2007-12-26,4.625
2007-12-27,4.65
2007-12-28,4.625
2008-01-02,4.625
2008-01-03,4.785
2008-01-04,4.76
2008-01-07,4.725
2008-01-08,4.745
2008-01-09,4.77
2008-01-10,4.79
2008-01-11,4.74
2008-01-14,4.745
2008-01-15,4.76
2008-01-16,4.775
2008-01-17,4.795
2008-01-18,4.77
2008-01-21,4.65
2008-01-22,4.77
2008-01-23,4.855
2008-01-24,4.77
2008-01-25,4.77
2008-01-28,4.745
2008-01-29,4.83
2008-01-30,4.735
2008-01-31,4.725
2008-02-01,4.825
2008-02-04,4.77
2008-02-05,4.77
2008-02-06,4.8
2008-02-13,4.76
2008-02-14,4.77
2008-02-15,4.76
2008-02-18,4.75
2008-02-19,4.7
2008-02-20,4.7
2008-02-21,4.76
2008-02-22,4.7
2008-02-25,4.77
2008-02-26,4.735
2008-02-27,4.7
2008-02-28,4.69
2008-02-29,4.69
2008-03-03,4.76
2008-03-04,4.69
2008-03-05,4.735
2008-03-06,4.66
2008-03-07,4.665
2008-03-10,4.735
2008-03-11,4.81
2008-03-12,4.71
2008-03-13,4.71
2008-03-14,4.71
2008-03-17,4.725
2008-03-18,4.71
2008-03-19,4.65
2008-03-20,4.74
2008-03-21,4.65
2008-03-24,4.7
2008-03-25,4.68
2008-03-26,4.685
2008-03-27,4.67
2008-03-28,4.67
2008-03-31,4.7
2008-04-01,4.77
2008-04-02,4.63
2008-04-03,4.725
2008-04-07,4.725
2008-04-08,4.605
2008-04-09,4.625
2008-04-10,4.61
2008-04-11,4.58
2008-04-14,4.585
2008-04-15,4.685
2008-04-16,4.71
2008-04-17,4.58
2008-04-18,4.62
2008-04-21,4.625
2008-04-22,4.575
2008-04-23,4.6
2008-04-24,4.6
2008-04-25,4.6
2008-04-28,4.725
2008-04-29,4.5
2008-04-30,4.465
2008-05-05,4.445
2008-05-06,4.42
2008-05-07,4.47
2008-05-08,4.455
2008-05-09,4.435
2008-05-12,4.455
2008-05-13,4.44
2008-05-14,4.47
2008-05-15,4.47
2008-05-16,4.525
2008-05-19,4.485
2008-05-20,4.495
2008-05-21,4.485
2008-05-22,4.505
2008-05-23,4.47
2008-05-26,4.485
2008-05-27,4.495
2008-05-28,4.525
2008-05-29,4.425
2008-05-30,4.465
2008-06-02,4.505
2008-06-03,4.45
2008-06-04,4.455
2008-06-05,4.475
2008-06-06,4.46
2008-06-10,4.48
2008-06-11,4.51
2008-06-12,4.51
2008-06-13,4.58
2008-06-16,4.625
2008-06-17,4.57
2008-06-18,4.565
2008-06-19,4.53
2008-06-20,4.575
2008-06-23,4.595
2008-06-24,4.62
2008-06-25,4.525
2008-06-26,4.6
2008-06-27,4.55
2008-06-30,4.775
2008-07-01,4.735
2008-07-02,4.775
2008-07-03,4.6
2008-07-04,4.72
2008-07-07,4.55
2008-07-08,4.525
2008-07-09,4.575
2008-07-10,4.55
2008-07-11,4.46
2008-07-14,4.525
2008-07-15,4.5
2008-07-16,4.485
2008-07-17,4.5
2008-07-18,4.47
2008-07-21,4.475
2008-07-22,4.5
2008-07-23,4.375
2008-07-24,4.45
2008-07-25,4.39
2008-07-28,4.425
2008-07-29,4.45
2008-07-30,4.375
2008-07-31,4.4
2008-08-01,4.33
2008-08-04,4.375
2008-08-05,4.3
2008-08-06,4.425
2008-08-07,4.35
2008-08-08,4.45
2008-08-11,4.375
2008-08-12,4.4
2008-08-13,4.375
2008-08-14,4.37
2008-08-15,4.5
2008-08-18,4.4
2008-08-19,4.4
2008-08-20,4.325
2008-08-21,4.28
2008-08-22,4.4
2008-08-25,4.34
2008-08-26,4.3
2008-08-27,4.35
2008-08-28,4.4
2008-08-29,4.5
2008-09-01,4.425
2008-09-02,4.295
2008-09-03,4.2
2008-09-04,4.275
2008-09-05,4.25
2008-09-08,4.295
2008-09-09,4.3
2008-09-10,4.245
2008-09-11,4.28
2008-09-12,4.3
2008-09-16,4.175
2008-09-17,4.35
2008-09-18,4.425
2008-09-19,4.035
2008-09-22,4.5
2008-09-23,4.4
2008-09-24,4.4
2008-09-25,4.25
2008-09-26,4.1
2008-10-06,4.225
2008-10-07,4.1
2008-10-08,4.1
2008-10-09,4.175
2008-10-10,4.175
2008-10-13,3.775
2008-10-14,3.925
2008-10-15,3.75
2008-10-16,3.75
2008-10-17,3.85
2008-10-20,3.75
2008-10-21,3.8
2008-10-22,3.725
2008-10-23,3.715
2008-10-24,3.65
2008-10-27,4.1
2008-10-28,3.56
2008-10-29,3.5
2008-10-30,3.5
2008-10-31,3.4
2008-11-03,3.43
2008-11-04,3.4
2008-11-05,3.3
2008-11-06,3.225
2008-11-07,3.825
2008-11-10,3.825
2008-11-11,3.52
2008-11-12,3.35
2008-11-13,3.1
2008-11-17,2.83
2008-11-18,2.8
2008-11-19,2.71
2008-11-20,3.35
2008-11-21,2.8
2008-11-24,2.8
2008-11-25,2.7
2008-11-26,2.68
2008-11-27,2.6
2008-11-28,2.35
2008-12-01,2.3
2008-12-02,2.29
2008-12-03,2.24
2008-12-04,2.24
2008-12-05,2.24
2008-12-08,2.25
2008-12-09,2.265
2008-12-10,2.075
2008-12-11,2.075
2008-12-12,2.095
