PRICING_DATE,PX_LAST
2007-01-01,5.2811
2007-01-02,5.2571
2007-01-03,5.2261
2007-01-04,5.1901
2007-01-05,5.2361
2007-01-08,5.2611
2007-01-09,5.2696
2007-01-10,5.2796
2007-01-11,5.3051
2007-01-12,5.3201
2007-01-15,5.3331
2007-01-16,5.3131
2007-01-17,5.3421
2007-01-18,5.3201
2007-01-19,5.3461
2007-01-22,5.3446
2007-01-23,5.3636
2007-01-24,5.3551
2007-01-25,5.3771
2007-01-26,5.3681
2007-01-29,5.3871
2007-01-30,5.3781
2007-01-31,5.3461
2007-02-01,5.3711
2007-02-02,5.3531
2007-02-05,5.3471
2007-02-06,5.3421
2007-02-07,5.3251
2007-02-08,5.3341
2007-02-09,5.3431
2007-02-12,5.3646
2007-02-13,5.3701
2007-02-14,5.3321
2007-02-15,5.3036
2007-02-16,5.2996
2007-02-19,5.3006
2007-02-20,5.2919
2007-02-21,5.3151
2007-02-22,5.3331
2007-02-23,5.2991
2007-02-26,5.2831
2007-02-27,5.1296
2007-02-28,5.1786
2007-03-01,5.1516
2007-03-02,5.0966
2007-03-05,5.0851
2007-03-06,5.1101
2007-03-07,5.0721
2007-03-08,5.1091
2007-03-09,5.2021
2007-03-12,5.1751
2007-03-13,5.0931
2007-03-14,5.1321
2007-03-15,5.1446
2007-03-16,5.1646
2007-03-19,5.1826
2007-03-20,5.1786
2007-03-21,5.1106
2007-03-22,5.1536
2007-03-23,5.1786
2007-03-26,5.1621
2007-03-27,5.1516
2007-03-28,5.1411
2007-03-29,5.1701
2007-03-30,5.1601
2007-04-02,5.1646
2007-04-03,5.1911
2007-04-04,5.1736
2007-04-05,5.1961
2007-04-06,5.2686
2007-04-09,5.2741
2007-04-10,5.2556
2007-04-11,5.2681
2007-04-12,5.2721
2007-04-13,5.2926
2007-04-16,5.2781
2007-04-17,5.2321
2007-04-18,5.2136
2007-04-19,5.2176
2007-04-20,5.2276
2007-04-23,5.2101
2007-04-24,5.1856
2007-04-25,5.2086
2007-04-26,5.2501
2007-04-27,5.2456
2007-04-30,5.2056
2007-05-01,5.2346
2007-05-02,5.2366
2007-05-03,5.2636
2007-05-04,5.2466
2007-05-07,5.2471
2007-05-08,5.2401
2007-05-09,5.2751
2007-05-10,5.2496
2007-05-11,5.2651
2007-05-14,5.2701
2007-05-15,5.2691
2007-05-16,5.2641
2007-05-17,5.2876
2007-05-18,5.3071
2007-05-21,5.2981
2007-05-22,5.3131
2007-05-23,5.3251
2007-05-24,5.3161
2007-05-25,5.3151
2007-05-28,5.3291
2007-05-29,5.3441
2007-05-30,5.3331
2007-05-31,5.3611
2007-06-01,5.3886
2007-06-04,5.3836
2007-06-05,5.3981
2007-06-06,5.3741
2007-06-07,5.4051
2007-06-08,5.3981
2007-06-11,5.4071
2007-06-12,5.4461
2007-06-13,5.4381
2007-06-14,5.4386
2007-06-15,5.4176
2007-06-18,5.4056
2007-06-19,5.3796
2007-06-20,5.3991
2007-06-21,5.3946
2007-06-22,5.3511
2007-06-25,5.3356
2007-06-26,5.3406
2007-06-27,5.3431
2007-06-28,5.3766
2007-06-29,5.3426
2007-07-02,5.3326
2007-07-03,5.3491
2007-07-04,5.3726
2007-07-05,5.3951
2007-07-06,5.4061
2007-07-09,5.3936
2007-07-10,5.3411
2007-07-11,5.3671
2007-07-12,5.3771
2007-07-13,5.3766
2007-07-16,5.3514
2007-07-17,5.3566
2007-07-18,5.3441
2007-07-19,5.3389
2007-07-20,5.3011
2007-07-23,5.3204
2007-07-24,5.3121
2007-07-25,5.2851
2007-07-26,5.1726
2007-07-27,5.1101
2007-07-30,5.1636
2007-07-31,5.1166
2007-08-01,5.1491
2007-08-02,5.1216
2007-08-03,5.0001
2007-08-06,5.0481
2007-08-07,5.1021
2007-08-08,5.1471
2007-08-09,4.9401
2007-08-10,4.9261
2007-08-13,4.9101
2007-08-14,4.8831
2007-08-15,4.7721
2007-08-16,4.6766
2007-08-17,4.6594
2007-08-20,4.6031
2007-08-21,4.5761
2007-08-22,4.7041
2007-08-23,4.7671
2007-08-24,4.7961
2007-08-27,4.7341
2007-08-28,4.6441
2007-08-29,4.7366
2007-08-30,4.6411
2007-08-31,4.5586
2007-09-03,4.5756
2007-09-04,4.6361
2007-09-05,4.5391
2007-09-06,4.5941
2007-09-07,4.4161
2007-09-10,4.3916
2007-09-11,4.4931
2007-09-12,4.5041
2007-09-13,4.5521
2007-09-14,4.5501
2007-09-17,4.5851
2007-09-18,4.3961
2007-09-19,4.4196
2007-09-20,4.4911
2007-09-21,4.4481
2007-09-24,4.4701
2007-09-25,4.4211
2007-09-26,4.4081
2007-09-27,4.3891
2007-09-28,4.4301
2007-10-01,4.4566
2007-10-02,4.4301
2007-10-03,4.4726
2007-10-04,4.4421
2007-10-05,4.5341
2007-10-08,4.5481
2007-10-09,4.5896
2007-10-10,4.5801
2007-10-11,4.5366
2007-10-12,4.6226
2007-10-15,4.6221
2007-10-16,4.5621
2007-10-17,4.4541
2007-10-18,4.3791
2007-10-19,4.2691
2007-10-22,4.3246
2007-10-23,4.2901
2007-10-24,4.2071
2007-10-25,4.2286
2007-10-26,4.2331
2007-10-29,4.2681
2007-10-30,4.2791
2007-10-31,4.3916
2007-11-01,4.2566
2007-11-02,4.2121
2007-11-05,4.2446
2007-11-06,4.2431
2007-11-07,4.1594
2007-11-08,4.0691
2007-11-09,4.0221
2007-11-12,3.9961
2007-11-13,4.1001
2007-11-14,4.0791
2007-11-15,3.9621
2007-11-16,3.9856
2007-11-19,3.9366
2007-11-20,3.9641
2007-11-21,3.8011
2007-11-22,3.8296
2007-11-23,3.8271
2007-11-26,3.7151
2007-11-27,3.8261
2007-11-28,3.8536
2007-11-29,3.7501
2007-11-30,3.7161
2007-12-03,3.6976
2007-12-04,3.6851
2007-12-05,3.7136
2007-12-06,3.7651
2007-12-07,3.8086
2007-12-10,3.8511
2007-12-11,3.7451
2007-12-12,3.7991
2007-12-13,3.8521
2007-12-14,3.9211
2007-12-17,3.8496
2007-12-18,3.8286
2007-12-19,3.7626
2007-12-20,3.7391
2007-12-21,3.7916
2007-12-24,3.7971
2007-12-25,3.7776
2007-12-26,3.8431
2007-12-27,3.7911
2007-12-28,3.7086
2007-12-31,3.6656
2008-01-01,3.8531
2008-01-02,3.5481
2008-01-03,3.4971
2008-01-04,3.4011
2008-01-07,3.3721
2008-01-08,3.3381
2008-01-09,3.3391
2008-01-10,3.2461
2008-01-11,3.0811
2008-01-14,3.0421
2008-01-15,3.0291
2008-01-16,3.1076
2008-01-17,2.9661
2008-01-18,2.8771
2008-01-21,2.7586
2008-01-22,2.4171
2008-01-23,2.5024
2008-01-24,2.7014
2008-01-25,2.5746
2008-01-28,2.5251
2008-01-29,2.5996
2008-01-30,2.4531
2008-01-31,2.3666
2008-02-01,2.4091
2008-02-04,2.4016
2008-02-05,2.2299
2008-02-06,2.2241
2008-02-07,2.3136
2008-02-08,2.2301
2008-02-11,2.2201
2008-02-12,2.2151
2008-02-13,2.2281
2008-02-14,2.2051
2008-02-15,2.1881
2008-02-18,2.2666
2008-02-19,2.3371
2008-02-20,2.3686
2008-02-21,2.2471
2008-02-22,2.3371
2008-02-25,2.3681
2008-02-26,2.2706
2008-02-27,2.2146
2008-02-28,2.1181
2008-02-29,1.9596
2008-03-03,2.0011
2008-03-04,2.0316
2008-03-05,2.0931
2008-03-06,1.9436
2008-03-07,1.9206
2008-03-10,1.8881
2008-03-11,2.0711
2008-03-12,1.9986
2008-03-13,1.9541
2008-03-14,1.7316
2008-03-17,1.5911
2008-03-18,1.8086
2008-03-19,1.7491
2008-03-20,1.9051
2008-03-21,1.9076
2008-03-24,1.9961
2008-03-25,1.9441
2008-03-26,1.8786
2008-03-27,1.8871
2008-03-28,1.8706
2008-03-31,1.8256
2008-04-01,1.9576
2008-04-02,2.0231
2008-04-03,2.0081
2008-04-04,1.9091
2008-04-07,1.9671
2008-04-08,1.9356
2008-04-09,1.8926
2008-04-10,1.9351
2008-04-11,1.8716
2008-04-14,1.9076
2008-04-15,1.9891
2008-04-16,2.0271
2008-04-17,2.0741
2008-04-18,2.1111
2008-04-21,2.1551
2008-04-22,2.1881
2008-04-23,2.1911
2008-04-24,2.2566
2008-04-25,2.2751
2008-04-28,2.2161
2008-04-29,2.2286
2008-04-30,2.1386
2008-05-01,2.1631
2008-05-02,2.2241
2008-05-05,2.2176
2008-05-06,2.1961
2008-05-07,2.1551
2008-05-08,2.1159
2008-05-09,2.1564
2008-05-12,2.1891
2008-05-13,2.2826
2008-05-14,2.2894
2008-05-15,2.2421
2008-05-16,2.2646
2008-05-19,2.2521
2008-05-20,2.2366
2008-05-21,2.2656
2008-05-22,2.3211
2008-05-23,2.2986
2008-05-26,2.3141
2008-05-27,2.3261
2008-05-28,2.3461
2008-05-29,2.3846
2008-05-30,2.3801
2008-06-02,2.3071
2008-06-03,2.2756
2008-06-04,2.3081
2008-06-05,2.3401
2008-06-06,2.3121
2008-06-09,2.5291
2008-06-10,2.7401
2008-06-11,2.6441
2008-06-12,2.8461
2008-06-13,2.8381
2008-06-16,2.8466
2008-06-17,2.7021
2008-06-18,2.6646
2008-06-19,2.7026
2008-06-20,2.6736
2008-06-23,2.7016
2008-06-24,2.6336
2008-06-25,2.6056
2008-06-26,2.5306
2008-06-27,2.4811
2008-06-30,2.5066
2008-07-01,2.5126
2008-07-02,2.4861
2008-07-03,2.4501
2008-07-04,2.4446
2008-07-07,2.3696
2008-07-08,2.3666
2008-07-09,2.3281
2008-07-10,2.3576
2008-07-11,2.4126
2008-07-14,2.3376
2008-07-15,2.2626
2008-07-16,2.3226
2008-07-17,2.3836
2008-07-18,2.4751
2008-07-21,2.4361
2008-07-22,2.4971
2008-07-23,2.5411
2008-07-24,2.4046
2008-07-25,2.4631
2008-07-28,2.3921
2008-07-29,2.4191
2008-07-30,2.4346
2008-07-31,2.3851
2008-08-01,2.4026
2008-08-04,2.4301
2008-08-05,2.4066
2008-08-06,2.4131
2008-08-07,2.3151
2008-08-08,2.3446
2008-08-11,2.3796
2008-08-12,2.2981
2008-08-13,2.3171
2008-08-14,2.3041
2008-08-15,2.2981
2008-08-18,2.2796
2008-08-19,2.2461
2008-08-20,2.2366
2008-08-21,2.2606
2008-08-22,2.3316
2008-08-25,2.2786
2008-08-26,2.2636
2008-08-27,2.2266
2008-08-28,2.2496
2008-08-29,2.2681
2008-09-01,2.2316
2008-09-02,2.2181
2008-09-03,2.2196
2008-09-04,2.1521
2008-09-05,2.2051
2008-09-08,2.1836
2008-09-09,2.1371
2008-09-10,2.1406
2008-09-11,2.1121
2008-09-12,2.1206
2008-09-15,1.7066
2008-09-16,1.8521
2008-09-17,1.7201
2008-09-18,1.8711
2008-09-19,2.1091
2008-09-22,2.0856
2008-09-23,2.0516
2008-09-24,2.0261
2008-09-25,1.9461
2008-09-26,1.8841
2008-09-29,1.6721
2008-09-30,1.9121
2008-10-01,1.8121
2008-10-02,1.6756
2008-10-03,1.5481
2008-10-06,1.4681
2008-10-07,1.4751
2008-10-08,1.4071
2008-10-09,1.3641
2008-10-10,1.4081
2008-10-13,1.4221
2008-10-14,1.4751
2008-10-15,1.3316
2008-10-16,1.3821
2008-10-17,1.3501
2008-10-20,1.3931
2008-10-21,1.3036
2008-10-22,1.2151
2008-10-23,1.2286
2008-10-24,1.2001
2008-10-27,1.1186
2008-10-28,1.1061
2008-10-29,1.0126
2008-10-30,1.0101
2008-10-31,1.0571
2008-11-03,1.0121
2008-11-04,0.9831
2008-11-05,0.9321
2008-11-06,0.9271
2008-11-07,0.8976
2008-11-10,0.8566
2008-11-11,0.7831
2008-11-12,0.8131
2008-11-13,0.9061
2008-11-14,0.8721
2008-11-17,0.8061
2008-11-18,0.7841
2008-11-19,0.7351
2008-11-20,0.6231
2008-11-21,0.7071
2008-11-24,0.7341
2008-11-25,0.6671
2008-11-26,0.6851
2008-11-27,0.7386
2008-11-28,0.6601
2008-12-01,0.6091
2008-12-02,0.5741
2008-12-03,0.5601
2008-12-04,0.5591
2008-12-05,0.6141
2008-12-08,0.5881
2008-12-09,0.5221
2008-12-10,0.5311
2008-12-11,0.4961
2008-12-12,0.5416
2008-12-15,0.5211
2008-12-16,0.3501
2008-12-17,0.4321
2008-12-18,0.4436
2008-12-19,0.4431
2008-12-22,0.4821
2008-12-23,0.4556
2008-12-24,0.4651
2008-12-25,0.4771
2008-12-26,0.4701
2008-12-29,0.3881
2008-12-30,0.3981
2008-12-31,0.4471
2009-01-01,0.4776
2009-01-02,0.4551
2009-01-05,0.4001
2009-01-06,0.3921
2009-01-07,0.3881
2009-01-08,0.3821
2009-01-09,0.3831
2009-01-12,0.3721
2009-01-13,0.3596
2009-01-14,0.3381
2009-01-15,0.3611
2009-01-16,0.3576
2009-01-19,0.3521
2009-01-20,0.3431
2009-01-21,0.3626
2009-01-22,0.3971
2009-01-23,0.4176
2009-01-26,0.4386
2009-01-27,0.3861
2009-01-28,0.4221
2009-01-29,0.4286
2009-01-30,0.4731
2009-02-02,0.4366
2009-02-03,0.4371
2009-02-04,0.4341
2009-02-05,0.4246
2009-02-06,0.4331
2009-02-09,0.4391
2009-02-10,0.4341
2009-02-11,0.4261
2009-02-12,0.4271
2009-02-13,0.4321
2009-02-16,0.4211
2009-02-17,0.4186
2009-02-18,0.4091
2009-02-19,0.4246
2009-02-20,0.4051
2009-02-23,0.3946
2009-02-24,0.4061
2009-02-25,0.4371
2009-02-26,0.4481
2009-02-27,0.4231
2009-03-02,0.3936
2009-03-03,0.3991
2009-03-04,0.4161
2009-03-05,0.4131
2009-03-06,0.4381
2009-03-09,0.4351
2009-03-10,0.4441
2009-03-11,0.4416
2009-03-12,0.4261
2009-03-13,0.4081
2009-03-16,0.4136
2009-03-17,0.4176
2009-03-18,0.3671
2009-03-19,0.3941
2009-03-20,0.3851
2009-03-23,0.3951
2009-03-24,0.4051
2009-03-25,0.4101
2009-03-26,0.4061
2009-03-27,0.4091
2009-03-30,0.3951
2009-03-31,0.3716
2009-04-01,0.3721
2009-04-02,0.3911
2009-04-03,0.4061
2009-04-06,0.4141
2009-04-07,0.3971
2009-04-08,0.4096
2009-04-09,0.4076
2009-04-10,0.4121
2009-04-13,0.3981
2009-04-14,0.3651
2009-04-15,0.3671
2009-04-16,0.3821
2009-04-17,0.4076
2009-04-20,0.4011
2009-04-21,0.3971
2009-04-22,0.4061
2009-04-23,0.4041
2009-04-24,0.4061
2009-04-27,0.3781
2009-04-28,0.3941
2009-04-29,0.3861
2009-04-30,0.3511
2009-05-01,0.3911
2009-05-04,0.3996
2009-05-05,0.3846
2009-05-06,0.3921
2009-05-07,0.4081
2009-05-08,0.4181
2009-05-11,0.4101
2009-05-12,0.4071
2009-05-13,0.4091
2009-05-14,0.4051
2009-05-15,0.3921
2009-05-18,0.4006
2009-05-19,0.3931
2009-05-20,0.3741
2009-05-21,0.3766
2009-05-22,0.3771
2009-05-25,0.3566
2009-05-26,0.3931
2009-05-27,0.4101
2009-05-28,0.4011
2009-05-29,0.3876
2009-06-01,0.4161
2009-06-02,0.4021
2009-06-03,0.4171
2009-06-04,0.4526
2009-06-05,0.6776
2009-06-08,0.6831
2009-06-09,0.6101
2009-06-10,0.6281
2009-06-11,0.5971
2009-06-12,0.5721
2009-06-15,0.5496
2009-06-16,0.5461
2009-06-17,0.5346
2009-06-18,0.5706
2009-06-19,0.5456
2009-06-22,0.5126
2009-06-23,0.4951
2009-06-24,0.5141
2009-06-25,0.4721
2009-06-26,0.4931
2009-06-29,0.5021
2009-06-30,0.5031
2009-07-01,0.5086
2009-07-02,0.4551
2009-07-03,0.4501
2009-07-06,0.4501
2009-07-07,0.4491
2009-07-08,0.4451
2009-07-09,0.4311
2009-07-10,0.4456
2009-07-13,0.4451
2009-07-14,0.4671
2009-07-15,0.4926
2009-07-16,0.4721
2009-07-17,0.4741
2009-07-20,0.4731
2009-07-21,0.4426
2009-07-22,0.4446
2009-07-23,0.4716
2009-07-24,0.4661
2009-07-27,0.4691
2009-07-28,0.4901
2009-07-29,0.5041
2009-07-30,0.5241
2009-07-31,0.5071
2009-08-03,0.5611
2009-08-04,0.5421
