,date,value,volatility
0,2001-09-21,121.2,0
1,2001-09-24,121.1,0.00083
2,2001-09-25,121.22,0.00084
3,2001-09-26,120.54,0.00157
4,2001-09-27,120.3,0.0016
5,2001-09-28,120.15,0.00158
6,2001-10-08,118.85,0.00302
7,2001-10-09,118.62,0.00296
8,2001-10-10,118.23,0.00298
9,2001-10-11,118.78,0.0031
10,2001-10-12,117.92,0.00348
11,2001-10-15,117.2,0.00368
12,2001-10-16,117.09,0.00358
13,2001-10-17,117.52,0.00358
14,2001-10-18,118.09,0.00367
15,2001-10-19,117.6,0.0037
16,2001-10-22,117.91,0.00365
17,2001-10-23,117.29,0.00376
18,2001-10-24,117.34,0.00365
19,2001-10-25,116.98,0.00362
20,2001-10-26,116.92,0.00352
21,2001-10-29,117.15,0.00345
22,2001-10-30,117.26,0.00336
23,2001-10-31,118.5,0.00411
24,2001-11-01,118.25,0.00403
25,2001-11-02,118.4,0.00392
26,2001-11-05,118.83,0.00391
27,2001-11-06,120.61,0.00519
28,2001-11-07,120.31,0.00508
29,2001-11-08,121.54,0.0055
30,2001-11-09,120.71,0.00558
31,2001-11-12,120.16,0.00553
32,2001-11-13,120.05,0.00538
33,2001-11-14,120.01,0.00522
34,2001-11-15,119.69,0.00511
35,2001-11-16,118.17,0.00582
36,2001-11-19,118.18,0.00566
37,2001-11-20,118.9,0.00568
38,2001-11-21,119.55,0.00567
39,2001-11-22,119.97,0.00557
40,2001-11-23,119.91,0.00541
41,2001-11-26,119.86,0.00525
42,2001-11-27,120.05,0.00511
43,2001-11-28,119.68,0.00502
44,2001-11-29,120.37,0.00507
45,2001-11-30,120.25,0.00492
46,2001-12-03,120.18,0.00478
47,2001-12-04,119.4,0.0049
48,2001-12-05,119.66,0.00479
49,2001-12-06,119.75,0.00465
50,2001-12-07,120.5,0.00476
51,2001-12-10,119.93,0.00476
52,2001-12-11,120.41,0.00472
53,2001-12-12,119.92,0.00468
54,2001-12-13,120.34,0.00462
55,2001-12-14,120.44,0.00449
56,2001-12-17,119.87,0.00451
57,2001-12-18,118.92,0.00477
58,2001-12-19,118.56,0.00469
59,2001-12-20,118.95,0.00462
60,2001-12-21,118.63,0.00453
61,2001-12-24,117.7,0.00479
62,2001-12-25,116.26,0.0055
63,2001-12-26,116.9,0.0055
64,2001-12-27,117.26,0.00539
65,2001-12-28,116.95,0.00527
66,2001-12-31,116.6,0.00517
67,2002-01-04,116.1,0.00512
68,2002-01-07,116.61,0.00508
69,2002-01-08,115.91,0.00514
70,2002-01-09,117.34,0.00579
71,2002-01-10,116.71,0.00577
72,2002-01-11,117.3,0.00573
73,2002-01-14,117.23,0.00556
74,2002-01-15,116.85,0.00546
75,2002-01-16,116.72,0.00531
76,2002-01-17,117.22,0.00525
77,2002-01-18,118.69,0.00591
78,2002-01-21,118.39,0.00577
79,2002-01-22,119.27,0.00587
80,2002-01-23,118.52,0.0059
81,2002-01-24,119.04,0.00582
82,2002-01-25,118.74,0.00569
83,2002-01-28,117.77,0.00586
84,2002-01-29,118.72,0.006
85,2002-01-30,118.1,0.00596
86,2002-01-31,117.73,0.00584
87,2002-02-01,117.79,0.00567
88,2002-02-04,117.62,0.00552
89,2002-02-05,117.34,0.00539
90,2002-02-06,117.63,0.00527
91,2002-02-07,118.14,0.00522
92,2002-02-08,117.84,0.0051
93,2002-02-25,118.35,0.00506
94,2002-02-26,118.34,0.00491
95,2002-02-27,117.63,0.00498
96,2002-02-28,117.91,0.00487
97,2002-03-01,118.05,0.00474
98,2002-03-04,119.38,0.00532
99,2002-03-05,119.75,0.00522
100,2002-03-06,119.73,0.00507
101,2002-03-07,119.46,0.00495
102,2002-03-08,118.02,0.00562
103,2002-03-11,118.33,0.00549
104,2002-03-12,118.08,0.00535
105,2002-03-13,118.21,0.00521
106,2002-03-14,118.31,0.00506
107,2002-03-15,117.67,0.00508
108,2002-03-18,117.64,0.00493
109,2002-03-19,117.61,0.00479
110,2002-03-20,117.57,0.00465
111,2002-03-21,117.76,0.00454
112,2002-03-22,118.1,0.00446
113,2002-03-25,118.78,0.00454
114,2002-03-26,118.38,0.00448
115,2002-03-27,118.56,0.00437
116,2002-03-28,119.12,0.00439
117,2002-03-29,118.93,0.00428
118,2002-04-01,118.95,0.00415
119,2002-04-02,118.83,0.00404
120,2002-04-03,119.38,0.00408
121,2002-04-04,119.81,0.00405
122,2002-04-05,120.15,0.00399
123,2002-04-08,120.53,0.00395
124,2002-04-09,120,0.00398
125,2002-04-10,120.32,0.00391
126,2002-04-11,119.93,0.00388
127,2002-04-12,120.2,0.0038
128,2002-04-15,118.98,0.00442
129,2002-04-16,119.08,0.0043
130,2002-04-17,118.73,0.00424
131,2002-04-18,118.47,0.00415
132,2002-04-19,119.22,0.0043
133,2002-04-22,119.15,0.00418
134,2002-04-23,119.2,0.00406
135,2002-04-24,119.51,0.00399
136,2002-04-25,118.38,0.00449
137,2002-04-26,118.02,0.00442
138,2002-04-29,117.74,0.00433
139,2002-04-30,117.64,0.00421
140,2002-05-08,117.32,0.00414
141,2002-05-09,117.25,0.00402
142,2002-05-10,117.41,0.00392
143,2002-05-13,117.35,0.00381
144,2002-05-14,116.72,0.00391
145,2002-05-15,116.56,0.00381
146,2002-05-16,116.16,0.00379
147,2002-05-17,116.01,0.0037
148,2002-05-20,116.75,0.0039
149,2002-05-21,116.78,0.00379
150,2002-05-22,116.53,0.00371
151,2002-05-23,116.8,0.00365
152,2002-05-24,117.06,0.00358
153,2002-05-27,117.04,0.00348
154,2002-05-28,117.34,0.00343
155,2002-05-29,117.43,0.00334
156,2002-05-30,116.14,0.00418
157,2002-05-31,116.21,0.00406
158,2002-06-03,115.32,0.00435
159,2002-06-04,114.27,0.00475
160,2002-06-05,112.04,0.00659
161,2002-06-06,112.08,0.0064
162,2002-06-07,111.46,0.00636
163,2002-06-10,112.06,0.0063
164,2002-06-11,111.9,0.00613
165,2002-06-12,110.96,0.00629
166,2002-06-13,111.38,0.00617
167,2002-06-14,111.16,0.00601
168,2002-06-17,110.68,0.00593
169,2002-06-18,110.87,0.00577
170,2002-06-19,111.05,0.00562
171,2002-06-20,109.91,0.00598
172,2002-06-21,109.62,0.00585
173,2002-06-24,109.08,0.0058
174,2002-06-25,108.69,0.00569
175,2002-06-26,109.01,0.00557
176,2002-06-27,108.8,0.00543
177,2002-06-28,109.54,0.00552
178,2002-07-01,109.8,0.00539
179,2002-07-02,109.33,0.00533
180,2002-07-03,110.19,0.00551
181,2002-07-04,109.55,0.00552
182,2002-07-05,108.91,0.00554
183,2002-07-08,109.56,0.00557
184,2002-07-09,109.27,0.00544
